emotion,emotion_cluster
abandoned,2
adoring,5
affectionate,5
afraid,1
aggrieved,2
agitated,1
alarmed,1
alienated,2
amazed,1
amorous,4
amused,4
angry,0
anguished,1
annoyed,2
antagonistic,0
anxious,1
apprehensive,1
ardent,4
aroused,4
ashamed,2
astonished,1
attached,5
awestruck,1
baffled,1
bashful,2
bereaved,2
betrayed,2
bitter,2
blissful,5
blue,3
buoyant,4
calm,5
captivated,4
caring,5
cheerful,4
cherished,5
claustrophobic,1
comfortable,5
comforted,5
compassionate,5
concerned,2
conflicted,1
confused,1
contemptuous,0
content,5
cornered,1
crushed,1
curious,4
defensive,1
defiant,0
dejected,3
delighted,4
demeaned,2
demoralized,3
dependent,2
desolate,3
despairing,3
desperate,1
despondent,3
devastated,1
disappointed,3
discomforted,2
discontented,3
discouraged,3
disgusted,3
disheartened,3
disillusioned,3
dismayed,1
distressed,1
distrustful,2
disturbed,1
doubtful,1
dreadful,1
eager,4
ecstatic,4
elated,4
embarrassed,2
empathetic,5
empty,3
enchanted,4
encouraged,4
energized,4
enraged,0
enthralled,4
enthusiastic,4
envious,2
euphoric,4
exasperated,2
excited,4
excluded,2
exhilarated,4
exposed,2
fearful,1
fond,5
forgiving,5
forlorn,3
fragile,1
frightened,1
frustrated,1
fulfilled,5
furious,0
glad,5
gloomy,3
grateful,5
grief-stricken,2
guarded,3
guilty,2
happy,4
hateful,0
haunted,1
heartbroken,2
helpless,1
hesitant,1
homesick,2
hopeful,4
hopeless,3
horrified,1
hostile,0
humiliated,2
hurt,2
hysterical,1
impatient,1
indignant,0
infatuated,2
insecure,1
inspired,4
insulted,2
intimidated,2
invigorated,4
irate,0
irked,2
irritated,3
isolated,3
jealous,2
jittery,1
joyful,4
jubilant,4
let down,2
lighthearted,5
lonely,2
longing,2
lovestruck,4
loving,5
melancholic,3
miserable,3
mistrustful,2
mortified,2
moved,4
needy,2
nervous,1
nostalgic,5
numb,3
offended,2
on edge,1
optimistic,4
outraged,0
overjoyed,4
overwhelmed,1
panicked,1
paranoid,1
passionate,4
peaceful,5
pensive,3
pessimistic,3
playful,4
pleased,5
powerless,1
proud,4
rattled,1
raw,1
reassured,5
reflective,3
regretful,3
rejected,2
relaxed,5
relieved,5
remorseful,2
resentful,2
resigned,3
restless,1
romantic,4
safe,5
satisfied,5
scared,1
scornful,0
secure,5
self-assured,5
self-conscious,2
self-critical,3
self-doubting,1
sentimental,5
serene,5
shaken,1
shamefaced,2
shell-shocked,1
shocked,1
smitten,4
soothed,5
sorrowful,3
spiteful,0
startled,1
stressed,1
suffocated,1
sulky,3
surprised,1
suspicious,2
sympathetic,5
tender,5
tense,1
terrified,1
thankful,5
threatened,1
thrilled,4
tormented,1
torn,1
touched,5
tranquil,5
trapped,1
triumphant,4
trusting,5
uneasy,1
unfulfilled,3
unhappy,3
unnerved,1
unsafe,1
unsettled,1
unsupported,2
upset,1
vengeful,0
vindictive,0
violated,2
vulnerable,1
warm,5
wary,2
wistful,3
withdrawn,3
worried,1
wrathful,0
yearning,2
